Character,Gender,NumberOfAppearances,FirstAppearance,LastAppearance,ExitStatus,Born,Died,AgeEnterStreet,AgeLastOnStreet,YearsOnStreet,Returner,NumberTimesMarried,NumberChildren,Occupation,Industry,BigamyCommitted
Jack Walker,Male,793,1960-12-14,1970-06-24,Death,1900-04-26,1970-06-30,60.64,70.18,9.54,False,1,2,Pub landlord,Accommodation & food services,False
Jack Webster,Male,293,2010-09-06,,Alive,2010-09-06,,0.0,14.81,14.81,False,0,0,,,False
Jackie Dobbs,Female,65,1998-03-29,2010-03-18,Exit,1954-08-24,2018-07-23,43.59,55.56,2.96,True,1,0,,,False
Jackie Ingram,Female,75,1990-08-08,1992-06-15,Exit,,,,,1.85,False,2,0,Businesswoman,"Professional, scientific & technical activities",False
Jacob Hay,Male,99,2021-02-01,2023-01-13,Exit,,,,,1.95,False,0,0,,,False
Jake Windass,Male,131,2013-05-27,,Alive,2013-05-27,,0.0,12.09,10.09,True,0,0,,,False
Jamie Armstrong,Male,107,1994-03-07,1997-05-02,Exit,1984-02-18,,10.05,13.2,3.15,False,0,0,,,False
Jamie Baldwin,Male,416,2004-07-19,2011-04-24,Exit,1980-06-27,,24.06,30.82,3.95,True,0,0,Taxi driver,Transport & storage,False
Janet Barlow,Female,71,1969-06-16,1977-02-21,Death,1942-11-28,1977-02-21,26.55,34.23,2.04,True,1,0,Town clerk,Public admin & defence; social security,False
Janice Battersby,Female,1557,1997-01-06,2011-03-25,Exit,1965-06-17,,31.56,45.77,14.21,False,1,1,Machinist,Manufacturing,False
Jason Grimshaw,Male,1509,2000-12-25,2016-06-29,Exit,1983-06-27,,17.5,33.01,15.51,False,1,0,Builder,Construction,False
Jed Stone,Male,128,1961-04-24,2009-02-02,Exit,1940-03-06,,21.13,68.91,2.77,True,0,0,Criminal (retired),Other services,False
Jenna Kamara,Female,154,2012-09-19,2014-08-13,Exit,1984-04-24,,28.41,30.3,1.9,False,0,0,,,False
Jenny Connor,Female,1390,1986-01-06,,Alive,1971-03-04,,14.84,54.32,15.48,True,2,1,Part-time counter staff at The Kabin,"Wholesale, retail & repair of motor vehicles",False
Jerry Booth,Male,651,1962-07-23,1975-10-29,Death,1941-08-02,1975-11-10,20.97,34.27,10.3,True,1,1,Builder,Construction,False
Jerry Morton,Male,168,2007-03-18,2008-09-29,Exit,1957-11-12,,49.34,50.88,1.54,False,1,4,Shopkeeper,"Wholesale, retail & repair of motor vehicles",False
Jesse Chadwick,Male,90,2008-12-15,2024-12-25,Exit,1969-11-20,,39.07,55.1,2.0300000000000002,True,3,0,Former children's entertainer  Electrician,Construction,False
Jessie Jackson,Female,63,2005-02-28,2006-01-27,Exit,,,,,0.91,False,0,0,Factory worker,Manufacturing,False
Jim McDonald,Male,1168,1989-10-27,2018-10-12,Exit,1955-11-14,,33.95,62.91,16.95,True,2,3,,,False
Joanne Jackson,Female,218,2005-02-28,2007-07-20,Exit,1987-01-05,,18.15,20.54,2.39,False,0,0,Factory worker,Manufacturing,False
Jodie Morton,Female,63,2007-01-29,2007-11-11,Exit,1978-12-21,,28.11,28.89,0.78,False,0,0,Shop assistant,"Wholesale, retail & repair of motor vehicles",False
Joe Carter,Male,135,2002-05-26,2003-06-20,Exit,,,,,1.07,False,0,0,Businessman,Financial & insurance activities,False
Joe McIntyre,Male,175,2008-05-26,2010-02-08,Death,1960-04-11,2010-02-08,48.12,49.83,1.71,False,2,1,Kitchen Fitter,Construction,False
Joel Deering,Male,125,2023-09-07,2024-09-27,Death,,2024-09-27,,,1.06,False,1,3,Solicitor,"Professional, scientific & technical activities",False
John Stape,Male,346,2007-05-06,2011-10-28,Death,1978-11-22,2011-10-28,28.45,32.93,4.48,False,1,2,Teacher,Education,False
Johnny Connor,Male,587,2015-10-05,2021-10-22,Death,1953-07-30,2021-10-18,62.18,68.22,6.04,False,2,3,Publican,Accommodation & food services,False
Joseph Brown,Male,319,2011-12-23,,Alive,2011-12-23,,0.0,13.52,11.52,True,0,0,,,False
Joshua Peacock,Male,328,2002-04-08,2011-01-14,Exit,2002-04-08,,0.0,8.77,8.77,False,0,0,,,False
Josie Clarke,Female,101,1995-01-16,1996-08-16,Exit,,,,,1.58,False,1,1,Doctor's receptionist,Human health & social work activities,False
Joyce Smedley,Female,71,1996-02-23,1997-02-21,Death,,1997-02-21,,,1.0,False,0,1,Cleaner,Administrative & support services,False
Jude Appleton,Male,91,2016-12-25,2019-01-02,Exit,1984-11-28,,32.07,34.09,2.02,False,1,1,,,False
Judy Mallett,Female,355,1995-10-02,1999-09-26,Death,1971-08-14,1999-09-24,24.13,28.11,3.98,False,1,2,Arcade employee,Other services,False
Julie Carp,Female,707,2008-04-25,2025-05-05,Death,1977-05-01,2025-05-05,30.98,48.01,7.18,True,1,0,Factory machinist,Manufacturing,False
Kal Nazir,Male,146,2013-12-08,2015-05-28,Death,1972-03-01,2015-05-25,41.77,43.23,1.46,False,1,2,Personal trainer,Other services,False
Karen McDonald,Female,496,2000-06-21,2004-12-26,Exit,1975-07-14,,24.94,29.45,4.51,False,2,0,Machinist,Manufacturing,False
Karl Munro,Male,305,2011-06-17,2013-09-13,Exit,1963-04-27,,48.14,50.38,2.24,False,1,0,Barman,Accommodation & food services,False
Kate Connor,Female,447,2015-10-05,2019-09-13,Exit,1989-11-16,,25.88,29.82,3.94,False,0,0,,,False
Katy Armstrong,Female,396,2010-07-30,2015-03-20,Exit,1994-09-10,2017-10-18,15.89,20.52,4.64,False,0,1,Receptionist,Administrative & support services,False
Katy Harris,Female,282,2002-11-13,2005-04-20,Death,1986-09-26,2005-04-20,16.13,18.57,2.43,False,0,0,,,False
Kayleigh Morton,Female,72,2007-03-18,2008-09-29,Exit,1994-12-01,,12.29,13.83,1.54,False,0,0,,,False
Keith Appleyard,Male,128,2005-03-23,2006-07-30,Exit,,,,,1.35,False,1,3,Taxidermist,Other services,False
Kelly Crabtree,Female,514,2004-09-06,2010-03-19,Exit,1979-04-24,,25.37,30.9,5.53,False,0,0,Factory machinist,Manufacturing,False
Kelly Neelan,Female,215,2019-06-28,2022-09-23,Exit,2005-05-22,,14.1,17.34,3.24,False,0,0,,,False
Kelly Thomson,Female,53,1996-02-09,1996-12-20,Exit,1977-10-01,,18.36,19.22,0.86,False,0,0,Childminder,Education,False
Ken Barlow,Male,4909,1960-12-09,,Alive,1939-10-09,,21.17,85.72,64.56,False,4,5,Teacher (retired),Education,False
Kevin Webster,Male,3576,1983-10-19,,Alive,1965-09-03,,18.12,59.82,41.7,False,4,4,Co-owner of Websters' Auto Centre,"Wholesale, retail & repair of motor vehicles",False
Kimberley Taylor,Female,105,1989-10-25,1992-11-27,Exit,,,,,3.09,False,0,0,Shop assistant,"Wholesale, retail & repair of motor vehicles",False
Kirk Sutherland,Male,1711,2000-05-22,,Alive,1982-01-28,,18.31,43.42,25.11,False,1,0,Packer at Underworld,Manufacturing,True
Kirsty Soames,Female,196,2011-09-07,2013-04-03,Exit,1983-05-24,2021-09-01,28.29,29.86,1.57,False,0,1,Police Officer (formerly)  Packer,Public admin & defence; social security,False
Kit Green,Unknown,198,2024-05-13,,Alive,1993-05-20,,30.98,32.11,1.13,False,0,0,Detective Constable,Public admin & defence; social security,False
Kylie Platt,Female,624,2010-08-26,2016-07-20,Death,1987-08-22,2016-07-15,23.01,28.9,5.89,False,1,2,Nail technician,Other services,False
Lauren Bolton,Female,226,2022-11-02,,Alive,2005-12-01,,16.92,19.58,2.66,False,0,1,,,False
Leanne Battersby,Female,2800,1997-07-04,,Alive,1981-07-02,,16.01,43.99,23.990000000000002,True,3,2,Co-owner of Speed Daal,Accommodation & food services,False
Len Fairclough,Male,1764,1961-01-25,1983-05-11,Death,1924-11-05,1983-12-07,36.22,59.09,22.86,False,2,1,Builder,Construction,False
Leo Thompkins,Male,67,2021-09-27,2022-09-26,Death,,2022-09-26,,,1.0,False,0,0,Civil engineer,Construction,False
Leonard Swindley,Male,197,1960-12-16,1965-05-31,Exit,1916-12-09,,44.02,48.47,4.45,False,0,0,Shopkeeper,"Wholesale, retail & repair of motor vehicles",False
Les Battersby-Brown,Male,1022,1997-07-04,2008-05-05,Exit,1955-08-28,2024-11-27,41.85,52.69,10.84,False,3,2,Taxi driverRoadie,Transport & storage,False
Lewis Archer,Male,186,2009-12-18,2019-01-01,Death,1950-10-02,2019-01-01,59.21,68.25,2.04,True,0,0,Male Escort  Waiter,Accommodation & food services,False
Liam Connor,Male,332,2006-08-30,2008-10-17,Death,1974-02-25,2008-10-16,32.51,34.64,2.13,False,1,2,Businessman,Financial & insurance activities,False
Liam Connor (son of Maria Connor),Male,312,2009-07-03,,Alive,2009-07-01,,0.01,16.0,15.99,False,0,0,,,False
Lily Platt,Female,301,2013-08-26,,Alive,2013-08-26,,0.0,11.84,11.84,False,0,0,,,False
Linda Baldwin,Female,329,1998-10-14,2001-09-05,Exit,1975-06-23,,23.31,26.2,2.89,False,1,0,Machinist,Manufacturing,False
Linda Cheveski,Female,107,1960-12-09,1984-06-20,Exit,1940-01-08,,20.92,44.45,4.55,True,1,2,Factory worker,Manufacturing,False
Lionel Petty,Male,47,1965-05-31,1966-01-26,Exit,,,,,0.66,False,1,1,Shopkeeper,"Wholesale, retail & repair of motor vehicles",False
Lisa Duckworth,Female,75,1992-02-05,1993-02-12,Death,1970-11-16,1993-02-12,21.22,22.24,1.02,False,1,1,,,False
Lisa Swain,Female,247,2021-05-07,,Alive,,,,,4.15,False,1,1,Detective Sergeant,Public admin & defence; social security,False
Liz McDonald,Female,2420,1989-10-27,2020-06-17,Exit,1957-11-03,,31.98,62.62,24.64,True,3,3,BarmaidReceptionist,Accommodation & food services,False
Llio Winter-Brown,Female,92,2019-10-30,,Alive,2019-10-30,,0.0,5.67,3.67,True,0,0,,,False
Lloyd Mullaney,Male,954,2005-06-20,2015-09-25,Exit,1964-08-01,,40.88,51.15,10.26,False,0,2,Taxi driver  Businessman,Transport & storage,False
Lorraine Brownlow,Female,73,1997-11-03,1999-03-12,Exit,,,,,1.35,False,0,0,Barmaid,Accommodation & food services,False
Lucille Hewitt,Female,744,1960-12-21,1974-07-01,Exit,1949-05-04,,11.63,25.16,13.52,False,0,0,Factory worker,Manufacturing,False
Lucy Barlow,Female,95,2002-09-22,2003-11-07,Exit,1975-07-25,2008-10-02,27.16,28.29,1.13,False,1,1,Florist,"Wholesale, retail & repair of motor vehicles",False
Luke Britton,Male,293,2014-03-03,2018-01-05,Death,1990-12-29,2018-01-05,23.18,27.02,3.84,False,0,0,Mechanic,"Wholesale, retail & repair of motor vehicles",False
Luke Strong,Male,78,2009-02-20,2009-10-19,Exit,1975-05-01,,33.81,34.47,0.66,False,0,0,Businessman,Financial & insurance activities,False
Maddie Heath,Female,131,2013-12-25,2015-06-01,Death,1997-02-03,2015-06-01,16.89,18.32,1.43,False,0,0,"Car Valet, Packer","Wholesale, retail & repair of motor vehicles",False
Maggie Cooke,Female,414,1968-04-01,1975-01-13,Exit,1924-06-12,,43.8,50.59,6.78,False,2,1,Shopkeeper,"Wholesale, retail & repair of motor vehicles",False
Mandy Kamara,Female,81,2012-09-14,2013-08-09,Exit,,,,,0.9,False,1,1,Chef,Accommodation & food services,False
Marcus Dent,Male,318,2007-09-07,2014-07-14,Exit,1977-10-01,,29.93,36.78,3.85,True,0,0,"Midwife, formerly a sonographer",Human health & social work activities,False
Maria Connor,Female,2144,2000-05-19,,Alive,1983-05-05,,17.04,42.15,25.11,False,3,2,Hairdresser  Councillor,Other services,False
Marion Yeats,Female,103,1982-02-15,1983-12-07,Exit,1950-12-18,,31.16,32.97,1.81,False,1,1,Shop assistant,"Wholesale, retail & repair of motor vehicles",False
Mark Casey,Male,106,1989-04-03,1991-11-11,Exit,1969-10-15,,19.47,22.07,2.61,False,0,0,MechanicGarage owner,"Wholesale, retail & repair of motor vehicles",False
Mark Redman,Male,158,1983-10-31,2006-04-17,Exit,1983-05-09,,0.48,22.94,5.0,True,0,0,,,False
Martha Longhurst,Female,299,1960-12-14,1964-05-13,Death,1896-09-02,1964-05-13,64.28,67.69,3.41,False,1,2,Cleaner,Administrative & support services,False
Martin Cheveski,Male,34,1980-06-16,1980-12-31,Exit,1964-07-01,,15.96,16.5,0.54,False,0,0,,,False
Martin Platt,Male,1645,1985-01-28,2018-03-26,Exit,1968-06-02,,16.66,49.81,20.42,True,1,4,Nurse,Human health & social work activities,False
Mary Taylor,Female,1091,2008-11-26,,Alive,1970-06-01,,38.49,55.08,16.59,False,1,1,Assistant at Preston's Petals,"Wholesale, retail & repair of motor vehicles",False
Mason Radcliffe,Male,114,2023-09-11,2025-01-06,Death,2008-06-01,2025-01-06,15.28,16.6,1.32,False,0,0,,,False
Matt Ramsden,Male,138,2000-11-22,2006-07-17,Exit,,,,,1.6500000000000001,True,2,1,Doctor,Human health & social work activities,False
Maud Grimes,Female,462,1993-04-02,1999-11-01,Exit,1922-04-01,,71.0,77.59,6.58,False,1,2,Shop assistant (retired),"Wholesale, retail & repair of motor vehicles",False
Maureen Webster,Female,401,1993-03-12,2006-12-27,Exit,1945-01-13,,48.16,61.95,4.79,True,4,0,Shop assistant,"Wholesale, retail & repair of motor vehicles",False
Mavis Wilton,Female,1788,1971-08-11,1997-10-10,Exit,1937-04-07,,34.34,60.51,26.17,False,1,0,NewsagentBed and Breakfast Manager,Accommodation & food services,False
Max Turner,Male,889,2010-08-29,2025-03-12,Exit,2006-09-05,,3.98,18.52,14.54,False,0,0,Trainee hairdresser,Other services,False
Maxine Peacock,Female,662,1995-05-03,2003-01-13,Death,1975-11-10,2003-01-13,19.48,27.18,7.7,False,1,1,Hairdresser,Other services,False
Maya Sharma,Female,123,2003-09-19,2004-11-24,Exit,,,,,1.18,False,6,0,Solicitor,"Professional, scientific & technical activities",True
Megan Hopkins,Female,42,1974-07-10,1975-02-10,Exit,,,,,0.59,False,1,1,Shopkeeper,"Wholesale, retail & repair of motor vehicles",False
Mel Morton,Female,116,2007-03-18,2008-10-03,Exit,1989-04-10,,17.94,19.48,1.55,False,0,0,Police officer,Public admin & defence; social security,False
Michael Bailey,Male,465,2019-06-12,,Alive,1990-03-01,,29.28,35.33,6.05,False,0,1,Junior manager at Underworld,Manufacturing,False
Michael Rodwell,Male,249,2014-03-24,2016-11-21,Death,1955-09-13,2016-11-18,58.53,61.18,2.66,False,2,1,"Ice cream man, businessman (formerly)",Accommodation & food services,False
Michelle Connor,Female,1665,2006-04-03,2019-12-27,Exit,1976-04-21,,29.95,43.68,13.73,False,2,3,Restaurateur  Wedding planner,Accommodation & food services,False
Mick Hopwood,Male,66,2002-10-21,2003-09-03,Exit,1962-11-11,,39.94,40.81,0.87,False,0,0,Police Constable,Public admin & defence; social security,False
Mike Baldwin,Male,2350,1976-10-11,2006-04-07,Death,1942-02-16,2006-04-07,34.65,64.14,29.49,False,5,3,Businessman,Financial & insurance activities,False
Minnie Caldwell,Female,987,1960-12-14,1976-04-07,Exit,1900-09-30,,60.21,75.52,15.31,False,1,0,Mill worker (retired),Manufacturing,False
Moira Pollock,Female,74,2017-07-12,2020-01-06,Exit,,,,,2.49,False,1,0,Practice manager of Rosamund Street Medical Centre,Human health & social work activities,False
Molly Dobbs,Female,473,2005-09-05,2010-12-09,Death,1984-10-21,2010-12-06,20.87,26.12,5.25,False,1,1,Shop assistant,"Wholesale, retail & repair of motor vehicles",False
Molly Hardcastle,Female,80,2000-11-05,2002-05-20,Exit,,,,,1.54,False,0,0,Practice nurse,Human health & social work activities,False
Myra Booth,Female,60,1963-09-04,1968-02-21,Exit,,,,,0.82,True,1,1,Typist,Administrative & support services,False
Natalie Barnes,Female,489,1997-02-26,2000-12-31,Exit,1957-10-12,,39.38,43.22,3.84,False,2,2,Landlady,Real estate activities,False
Natasha Blakeman,Female,192,2008-05-12,2021-10-25,Death,1981-02-16,2021-10-19,27.23,40.67,3.4299999999999997,True,0,1,Salon owner,Other services,False
Nathan Cooper,Male,99,2005-04-01,2006-07-19,Exit,,,,,1.3,False,0,0,Mechanic,"Wholesale, retail & repair of motor vehicles",False
Nick Tilsley,Male,2642,1981-01-05,,Alive,1980-12-31,,0.01,44.5,36.480000000000004,True,4,1,Co-owner of Viaduct Bistro,Accommodation & food services,False
Nicola Rubinstein,Female,98,2017-06-12,2019-02-01,Exit,1990-05-15,,27.08,28.72,1.64,False,0,1,Social Worker,Human health & social work activities,False
Nina Lucas,Female,515,2019-11-11,,Alive,2002-04-24,,17.55,23.18,5.63,False,0,0,StudentWaitress at Roy's Rolls,Accommodation & food services,False
Nita Desai,Female,122,1999-01-08,2000-05-19,Exit,1975-04-30,,23.69,25.05,1.36,False,1,0,Shop manager,"Wholesale, retail & repair of motor vehicles",False
Norma Ford,Female,121,1972-05-29,1974-07-10,Exit,1945-07-03,,26.9,29.02,2.11,False,0,0,Shop assistant,"Wholesale, retail & repair of motor vehicles",False
Norris Cole,Male,1654,1994-03-11,2020-06-24,Exit,1940-03-05,2021-09-15,54.02,80.3,22.29,True,3,0,Newsagent (retired),"Wholesale, retail & repair of motor vehicles",False
Oliver Battersby,Male,139,2017-02-20,2020-11-27,Death,2017-02-20,2020-11-27,0.0,3.77,3.77,False,0,0,,,False
Owen Armstrong,Male,547,2010-06-09,2015-04-15,Exit,1958-09-20,,51.72,56.57,4.85,False,1,2,,,False
Pam Hobsworth,Female,129,2008-07-16,2012-05-03,Exit,,,,,3.8,False,4,0,Saleswoman,"Wholesale, retail & repair of motor vehicles",False
Pat Phelan,Male,359,2013-10-02,2018-06-01,Death,1963-10-30,2018-05-28,49.92,54.58,2.65,True,2,1,Businessman  Builder,Construction,False
Patrick Tussel,Male,72,2002-12-15,2005-01-23,Exit,1965-06-07,,37.52,39.63,2.11,False,0,2,Taxi driver,Transport & storage,False
Paul Clayton,Male,113,2000-11-29,2008-05-25,Exit,1986-02-16,,14.78,22.27,1.48,True,0,0,Chef,Accommodation & food services,False
Paul Connor,Male,103,2006-09-06,2007-06-06,Death,1969-02-01,2007-06-06,37.59,38.34,0.75,False,1,0,Businessman,Financial & insurance activities,False
Paul Foreman,Male,605,2018-05-11,2024-09-09,Death,1990-08-24,2024-09-09,27.71,34.05,6.33,False,1,0,,,False
Paul Kershaw,Male,179,2010-12-08,2013-08-21,Exit,,,,,2.7,False,1,0,Firefighter,Public admin & defence; social security,False
Paula Martin,Female,90,2018-08-17,2020-06-10,Exit,1967-07-01,,51.13,52.94,1.82,False,1,2,Solicitor,"Professional, scientific & technical activities",False
Penny King,Female,118,2003-08-08,2006-04-17,Exit,,,,,2.69,False,1,0,Businesswoman,"Professional, scientific & technical activities",False
Percy Sugden,Male,982,1983-08-22,1997-10-20,Exit,1922-04-08,,61.37,75.53,14.16,False,1,0,Caretaker (retired),Administrative & support services,False
Peter Barlow,Male,1911,1965-04-05,2023-12-26,Exit,1965-04-05,,0.0,58.72,28.72,True,6,2,,,True
Phil Jennings,Male,63,1990-09-19,1991-07-29,Exit,,,,,0.86,False,1,0,Businessman,Financial & insurance activities,False
Phil Nail,Male,61,2005-08-15,2006-03-27,Exit,,,,,0.61,False,0,0,Reflexologist,Human health & social work activities,False
Phill Whittaker,Male,80,2021-07-16,2022-07-25,Exit,1975-12-08,,45.6,46.63,1.02,False,2,0,,,False
Phyllis Pearce,Female,505,1982-09-20,1996-05-01,Exit,1921-02-07,,61.62,75.23,13.61,False,1,1,Cleaner (retired)previously Waitress,Other services,False
Poppy Morales,Female,60,2008-12-17,2009-06-08,Exit,,,,,0.47,False,0,0,Barmaid,Accommodation & food services,False
Rana Habeeb,Female,244,2016-02-19,2019-03-20,Death,1991-11-01,2019-03-19,24.3,27.38,3.08,False,1,0,Nurse,Human health & social work activities,False
Raquel Watts,Female,533,1991-01-23,2000-01-02,Exit,1966-05-26,,24.66,33.6,5.43,True,2,2,Barmaid,Accommodation & food services,False
Ray Crosby,Male,117,2019-07-05,2021-11-19,Exit,1968-01-01,,51.51,53.88,2.38,False,0,1,Hotelier,Accommodation & food services,False
Ray Langton,Male,798,1966-02-21,2005-04-10,Death,1947-02-18,2005-04-08,19.01,58.14,10.35,True,2,2,Builder,Construction,False
Reg Holdsworth,Male,410,1989-10-25,1995-11-24,Exit,1942-03-14,,47.62,53.7,6.08,False,2,1,Retail manager,"Wholesale, retail & repair of motor vehicles",False
Renee Roberts,Female,237,1976-05-10,1980-07-30,Death,1943-03-03,1980-07-30,33.19,37.41,4.22,False,1,0,Shopkeeper,"Wholesale, retail & repair of motor vehicles",False
Richard Hillman,Male,220,2001-06-20,2003-03-14,Death,1951-12-20,2003-03-14,49.5,51.23,1.73,False,3,0,Businessman,Financial & insurance activities,False
Rita Tanner,Female,3966,1964-12-02,,Alive,1932-02-25,,32.77,93.34,53.0,True,4,0,Newsagent at The Kabin,"Wholesale, retail & repair of motor vehicles",False
Rob Donovan,Male,346,2012-07-09,2025-03-26,Exit,1979-11-01,,32.69,45.4,4.97,True,0,1,,,False
Roger Stiles,Male,66,2007-01-01,2008-10-08,Exit,,,,,1.77,False,0,0,Plumber,Construction,False
Ronnie Bailey,Male,285,2021-02-19,,Alive,1969-10-18,,51.34,55.7,4.36,False,2,0,Developer,Real estate activities,False
Ronnie Clayton,Male,56,2005-10-03,2006-06-11,Exit,1975-06-30,,30.26,30.95,0.69,False,1,0,Taxi driver,Transport & storage,False
Rosie Webster,Female,1365,1990-12-25,2018-06-08,Exit,1990-12-24,,0.0,27.46,22.450000000000003,True,0,0,Game show assistant,Other services,False
Roy Cropper,Male,2823,1995-07-19,,Alive,1954-09-21,,40.82,70.77,29.95,False,2,0,Proprietor of Roy's Rolls,Accommodation & food services,False
Ruby Dobbs,Female,409,2012-09-09,,Alive,2012-09-09,,0.0,12.8,12.8,False,0,0,,,False
Russ Gray,Male,51,2010-05-28,2011-11-18,Exit,,,,,1.48,False,0,0,,,False
Ryan Connor,Male,943,2006-08-30,,Alive,1992-01-14,,14.63,33.46,11.83,True,0,0,DJ Rovers' barman,Accommodation & food services,False
Sally Metcalfe,Female,3856,1986-01-27,,Alive,1967-07-11,,18.55,57.97,39.42,False,4,2,Machinery Supervisor at Underworld,Manufacturing,True
Sam Blakeman,Male,296,2020-10-02,,Alive,2011-04-28,,9.43,14.17,4.74,False,0,0,,,False
Sam Kingston,Male,139,2000-06-19,2002-06-07,Exit,,,,,1.97,False,0,0,Mechanic,"Wholesale, retail & repair of motor vehicles",False
Samantha Failsworth,Female,225,1996-07-17,1998-06-15,Exit,1976-03-05,,20.37,22.28,1.91,False,1,0,Barmaid,Accommodation & food services,False
Samir Rachid,Male,67,1994-08-24,1995-06-02,Death,1973-01-14,1995-06-02,21.61,22.38,0.77,False,1,0,Waiter,Accommodation & food services,False
Sandra Butler,Female,51,1969-11-17,1970-08-31,Exit,1952-10-01,,17.13,17.91,0.79,False,0,0,Hairdresser,Other services,False
Sandra Petty,Female,39,1964-11-04,1965-12-01,Exit,1946-06-21,,18.37,19.45,1.07,False,0,0,Shop assistant,"Wholesale, retail & repair of motor vehicles",False
Sandra Stubbs,Female,53,1988-05-02,1989-02-22,Exit,,,,,0.81,False,1,1,Cleaner,Administrative & support services,False
Sarah Platt,Female,2725,1987-02-02,,Alive,1987-02-02,,0.0,38.41,31.41,True,2,3,Underworld manager,Manufacturing,False
Scooter Makuna,Male,50,2005-01-26,2005-11-06,Exit,1985-04-01,,19.82,20.6,0.78,False,0,0,,,False
Sean Skinner,Male,103,1994-08-01,1997-05-05,Exit,,,,,2.76,False,1,0,Bookmaker,Other services,False
Sean Tully,Male,2128,2003-07-13,,Alive,1976-09-13,,26.83,48.79,21.97,False,0,1,Machinist,Manufacturing,False
Seb Franklin,Male,315,2016-10-10,2021-05-07,Death,2001-03-06,2021-05-07,15.6,20.17,4.57,False,0,0,Handyman,Construction,False
Shannon Tattersall,Female,61,1997-08-27,1998-04-17,Death,1997-08-27,1998-04-17,0.0,0.64,0.64,False,0,0,,,False
Sharif Nazir,Male,165,2014-02-24,2016-11-04,Exit,,,,,2.69,False,1,1,Businessman,Financial & insurance activities,False
Sharon Bentley,Female,209,1982-03-01,2021-06-25,Exit,1965-03-22,,16.94,56.26,2.33,True,1,0,,,False
Sheila Crossley,Female,161,1961-01-04,1974-10-02,Exit,1940-04-23,,20.7,34.44,2.74,True,1,1,Factory worker,Manufacturing,False
Shelley Unwin,Female,763,2001-05-09,2006-09-29,Exit,1973-11-19,,27.47,32.86,5.39,False,1,0,Manageress,Administrative & support services,True
Shirley Armitage,Female,153,1983-09-05,1989-04-12,Exit,1961-04-11,,22.4,28.0,5.6,False,0,0,Machinist,Manufacturing,False
Shona Platt,Female,873,2016-12-16,,Alive,1987-10-06,,29.2,37.73,8.54,False,1,1,Assistant at Roy's Rolls,Accommodation & food services,False
Sian Powers,Female,206,2009-01-26,2011-12-30,Exit,1993-12-28,,15.08,18.0,2.92,False,0,0,,,False
Simon Barlow,Male,931,2003-07-06,2024-06-03,Exit,2003-07-06,,0.0,20.91,15.93,True,0,0,,,False
Sinead Osbourne,Female,591,2013-04-19,2019-10-25,Death,1994-03-10,2019-10-25,19.11,25.63,6.52,False,1,1,,,False
Sonia Marshall,Female,126,2003-06-16,2005-03-20,Exit,,,,,1.76,False,0,0,Factory machinist,Manufacturing,False
Sophie Webster,Female,1566,1994-11-04,2019-10-09,Exit,1994-11-04,,0.0,24.93,24.93,False,0,0,,,False
Spider Nugent,Male,340,1997-12-15,2023-07-19,Exit,1972-01-04,,25.95,51.54,4.59,True,1,0,Detective Constable,Public admin & defence; social security,False
Stan Ogden,Male,1226,1964-06-29,1984-03-07,Death,1919-05-17,1984-11-21,45.12,65.52,20.4,False,1,4,Window cleaner (retired),Other services,False
Stella Price,Female,455,2011-06-16,2014-04-02,Exit,1963-08-11,,47.85,50.64,2.8,False,1,2,Waitress,Accommodation & food services,False
Steph Barnes,Female,130,1990-02-12,1995-10-04,Exit,1965-06-11,,24.67,30.31,2.6399999999999997,True,1,1,Store assistant,"Wholesale, retail & repair of motor vehicles",False
Steph Britton,Female,319,2013-02-18,2018-02-07,Exit,1995-02-22,,17.99,22.96,4.97,False,0,0,Waitress,Accommodation & food services,False
Stephen Reid,Male,299,1996-01-29,2023-10-13,Death,1957-02-06,2023-10-10,38.98,66.67,2.7,True,1,0,Businessman,Financial & insurance activities,False
Steve Fisher,Male,112,1977-08-29,1979-12-10,Exit,1957-05-08,,20.31,22.59,2.28,False,0,0,Trainee/Assistant Manager at Baldwin's Casuals,"Wholesale, retail & repair of motor vehicles",False
Steve McDonald,Male,3780,1989-12-06,,Alive,1974-06-26,,15.45,51.01,35.56,False,7,4,Co-owner of Street Cars,Transport & storage,False
Steve Tanner,Male,57,1967-05-03,1967-12-27,Death,1924-10-30,1968-09-25,42.51,43.9,1.4,False,2,0,Soldier,Public admin & defence; social security,False
Stu Carpenter,Male,255,2021-10-06,2024-10-14,Exit,1955-06-10,,66.32,69.35,3.02,False,1,1,Chef,Accommodation & food services,False
Sue Clayton,Female,27,1985-01-30,1985-08-28,Exit,,,,,0.57,False,0,0,Shop assistant,"Wholesale, retail & repair of motor vehicles",False
Summer Spellman,Female,562,2017-06-16,,Alive,2004-08-29,,12.8,20.84,8.04,False,0,0,,,False
Sunita Alahan,Female,757,2001-03-21,2013-04-03,Death,1978-08-01,2013-04-03,22.64,34.67,9.04,True,1,2,Shop assistant,"Wholesale, retail & repair of motor vehicles",False
Susan Barlow,Female,177,1965-04-05,2001-02-11,Death,1965-04-05,2001-02-11,0.0,35.85,11.23,True,1,1,,,False
Suzie Birchall,Female,195,1977-01-10,1983-06-29,Exit,1958-05-03,,18.69,25.16,2.47,True,1,0,Shop assistant,"Wholesale, retail & repair of motor vehicles",False
